"SCINAME","COMNAME","SVSPP","SVABBR","PYSPP","PYABBR","NODCCODE","NODCTYPE","NODCLEVL","NODCCTRL","NODCAUTH","AUTHOR","PICTURE","COMMNT","O_SVSCNM","O_SVCONM","O_SVSPP","DOC","UOC","DOE","UOE"
"CARDIIDAE","COCKLE UNCL",,"","512080300000000","CARFA1","551522","","F","","LAMARCK,1809","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"CAREPROCTUS RANULA","",260,"RANULAS","","","NONE","","","","","SCOTT&SCOTT-517","","CORRECTED TYPO, NODC TO ADD?","Careproctus ranulas","Careproctus Ranulas","260",09-AUG-95,"BK",,""
"CARETTA CARETTA","LOGGERHEAD SEATURTLE",950,"LOGGER","","","9002040101","","S","","(LINNAEUS, 1758)","ZUG 1990","","|SV: COMMON NAME CORRECTED TO ZUG 1990","Caretta caretta","Loggerhead Turtle","950",09-AUG-95,"BK",,""
"CARIDION GORDONI","BIGCLAW HIPPOLYTE",,"","411021402010000","CARGOR","6179160801","","S","","(BATE, 1858)","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"CARIDION SP","",,"","411021402000000","CARISP","61791608","","G","","","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"CASCO BIGELOWI","",,"","411011201010000","CASBIG","6169211601","","S","","BLAKE, 1929","","","","","","",28-DEC-94,"RAR",,""
"CATAPAGURUS SP","",,"","411022201000000","CATASP","61830609","","G","","","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"CAUDINA ARENATA","RAT-TAILED CUCUMBER",,"","615050202010000","CAUARE","8179020102","","S","","","","","","","","",28-DEC-94,"RAR",,""
"CAULOLATILUS CHRYSOPS","GOLDFACE TILEFISH",622,"GOLTILE","","","8835220105","","S","","","AFS-1991","","|SV: CORRECTED COMMON NAME TO AFS-1980 STANDARD","Caulolatilus chrysops","Atlantic Goldeneye Tilefish","622",09-AUG-95,"BK",,""
"BELONIDAE","NEEDLEFISH UNCL",,"","823060100000000","BELFAM","880302","","F","","","AFS-1991","","","","","",28-DEC-94,"RAR",,""
"BEMBROPS GOBIOIDES","GOBY FLATHEAD",698,"GOBYFLAT","","","8840070102","","S","","(GOODE)","AFS-1991","","|SV: SEE DUP CODE 178","Bembrops gobioides","Goby Flathead","698",09-AUG-95,"BK",,""
"BENTHODESMUS SIMONYI","SIMONYS FROSTFISH",239,"FROST","","","8850020103","","S","","(CLARKE, 1879)","Nakamura/Parin 93","NAKAMURA & PARRIN 1993, p80, FIG. 148","|SV: DROPPED SUBSPECEIS B. ELONGATUS SIMONYI","Benthodesmus simonyi","Frostfish","239",08-MAR-99,"JM",,""
"BIVALVIA","BIVALVE MOLLUSK UNCL",,"","512000000000000","BIVALV","55","","C","","LINNAEUS,1758","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"BIVALVIA SHELL","BIVALVE SHELL",,"","512000000000004","BIVSHE","NONE","","","","","FH-1995","","SPECIAL FCDI CODE FOR SHELL IN STOMACH","","","",28-DEC-94,"RAR",,""
"BIVALVIA SIPHON","BIVALVE SIPHON",,"","512000000000008","BIVSIP","NONE","","","","","FH-1995","","SPECIAL FCDI CODE FOR SIPHON IN STOMACH","","","",28-DEC-94,"RAR",,""
"BIVALVIA VISCERA","BIVALVE VISCERA",,"","512000000000007","BIVVIS","NONE","","","","","FH-1995","","SPEICIAL FCDI CODE INDICATES SUSPECTED FISHING BOAT DISCARD","","","",28-DEC-94,"RAR",,""
"BLENNIIDAE","COMBTOOTH BLENNY UNCL",733,"COMBLEN","823218100000000","","884201","","F","","","AFS-1991","","FH|SV: MINOR EDITS","Blenniidae sp","Combtooth Blenny Uncl","733",01-JAN-99,"FPA",,""
"BODIANUS PULCHELLUS","SPOTFIN HOGFISH",673,"SPOHOG","","","8839010301","","S","","(POEY)","AFS-1991","","","Bodianus pulchellus","Spotfin Hogfish","673",09-AUG-95,"BK",,""
"BODOTRIIDAE","",,"","411040100000000","BODFAM","615409","","F","","","","","","","","",28-DEC-94,"RAR",,""
"BOLOCERA TUEDIAE","",,"","052210102020000","BOLTUE","3760010701","","S","","(JOHNSTON, 1832)","AFS-1991","","","","","",28-DEC-94,"RAR",,""
"BOPYRIDAE","",,"","411030300000000","BOPFAM","616504","","F","","RAFINESQUE, 1815","","","","","","",28-DEC-94,"RAR",,""
"BOSTRICHOBRANCHUS PILULARIS","",,"","761020101010000","BOSPIU","8406030501","","S","","(VERRILL, 1871)","NODC","","CORRECTED TYPO","","","",28-DEC-94,"RAR",,""
"BOSTRICHOBRANCHUS SP","",,"","761020101000000","BOSTSP","84060305","","G","","TRAUSTEDT, 1883","","","","","","",28-DEC-94,"RAR",,""
"BOTHIDAE","LEFTEYE FLOUNDER UNCL",795,"LEFTFLU","823230100000000","BOTFAM","885703","","F","","","AFS-1991","","|SV: MINOR EDITS","Bothidae sp","Lefteye Flounder Uncl","795",01-JAN-99,"FPA",,""
"BOTHUS LUNATUS","PEACOCK FLOUNDER",776,"PEAFL","","","8857030601","","S","","(LINNAEUS)","AFS-1991","","","Bothus lunatus","Peacock Flounder","776",09-AUG-95,"BK",,""
"BOTHUS OCELLATUS","EYED FLOUNDER",777,"EYEFL","","","8857030603","","S","","(AGASSIZ)","AFS-1991","","","Bothus ocellatus","Eyed Flounder","777",09-AUG-95,"BK",,""
"BOTHUS ROBINSI","TWOSPOT FLOUNDER",873,"2SPOT","","","8857030604","","S","","","AFS-1991","","","Bothus robinsi","Twospot Flounder","873",09-AUG-95,"BK",,""
"BRACHIOPODA","LAMP SHELL UNCL",,"","740000000000000","BRACHI","80","","P","","","RUPPERT AND BARNS 94","","LUMPED IN RHYNCHONELLIDAE (741010300000000)","","","",28-DEC-94,"RAR",,""
"BRADA SP","",,"","214070101000000","BRADSP","50015401","","G","","","","","","","","",28-DEC-94,"RAR",,""
"BRADA VILLOSA","",,"","214070101030000","BRAVIL","5001540102","","S","","","","","","","","",28-DEC-94,"RAR",,""
"BRAMA BRAMA","ATLANTIC POMFRET",585,"ATPOMF","","","8835710102","","S","","(BONNATERRE)","AFS-1991","","","Brama brama","Atlantic Pomfret","585",09-AUG-95,"BK",,""
"BRANCHIOSTOMA SP","AMPHIOXUS",,"","811010101000000","BRANSP","85000101","","G","","","","","SINGLE SP. OF CEPHALOCHORDATA IN AREA","","","",28-DEC-94,"RAR",,""
"BREVIRAJA PLUTONIA","LONGTAIL SKATE",924,"","","","8713040305","","S","","","FWNA2, P.298,F.67","","","Breviraja plutonia","Breviraja Plutonia","924",09-AUG-95,"BK",,""
"BREVOORTIA TYRANNUS","ATLANTIC MENHADEN",36,"MENHADEN","823080602040000","BRETYR","8747010401","","S","","(LATROBE, 1802)","AFS-1991","","","Brevoortia tyrannus","Atlantic Menhaden","036",09-AUG-95,"BK",,""
"BROSME BROSME","CUSK",84,"CUSK","823130203010000","BROBRO","8791031101","","S","","(ASCANIUS, 1772)","AFS-1991","","","Brosme brosme","Cusk","084",09-AUG-95,"BK",,""
"BROTULA BARBATA","BEARDED BROTULA",456,"BEARBROT","","","8792010401","","S","","(BLOCH & SCHNEIDER)","AFS-1991","","","Brotula barbata","Bearded Brotula","456",09-AUG-95,"BK",,""
"BRYOZOA","BRYOZOAN UNCL",,"","700000000000000","BRYOZO","78","","P","","","","","","","","",28-DEC-94,"RAR",,""
"BUCCINIDAE","",,"","514080100000000","BUCFAM","510504","","F","","RAFINESQUE,1813","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"BUCCINUM SP","",,"","514080101000000","BUCCSP","51050401","","G","","LINNAEUS,1758","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"BUCCINUM SP EGGS","BUCCINUM EGGS",,"","514080101000100","BUCCS1","NONE","","","","","FH-1995","","SPECIAL FCDI CODE FOR LIFE STAGE","","","",28-DEC-94,"RAR",,""
"BUCCINUM UNDATUM","WAVED WHELK",344,"","514080101010000","","5105040145","","S","","LINNAEUS,1758","AFS-1988","","","Buccinum undatum","Waved Whelk","344",09-AUG-95,"BK",,""
"BUGULA SP","",,"","701010401000000","BUGUSP","78152501","","G","","OKEN, 1815","","","","","","",28-DEC-94,"RAR",,""
"BUGULA TURRITA","",,"","701010401040000","BUGTUR","7815250101","","S","","DESOR","","","","","","",28-DEC-94,"RAR",,""
"BUSYCON CARICA","KNOBBED WHELK",337,"KNOBBED","","","5105070101","","S","","(GMELIN,1791)","AFS-1988","","","Busycon carica","Knobbed Whelk","337",09-AUG-95,"BK",,""
"BUSYCON SP","",,"","514080701000000","BUSYSP","51050701","","G","","RODING,1798","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"BUSYCOTYPUS CANALICULATUS","CHANNELED WHELK",336,"CHANNEL","","","5105070201","","S","","(LINNAEUS,1758)","AFS-1988","","|SV: CORRECTED TO AFS-89 STANDARD","Busycon canaliculatum","Channeled Whelk","336",09-AUG-95,"BK",,""
"BYBLIS GAIMARDI","",,"","411010202010000","BYBGAI","6169020202","","S","","KROYER, 1846","","","","","","",28-DEC-94,"RAR",,""
"BYBLIS SERRATA","",,"","411010202020000","BYBSER","6169020203","","S","","SMITH, 1873","","","","","","",28-DEC-94,"RAR",,""
"BYBLIS SP","",,"","411010202000000","BYBLSP","61690202","","G","","BOECK, 1871","","","","","","",28-DEC-94,"RAR",,""
"CAECUM SP","",,"","514040401000000","CAECSP","51033603","","G","","FLEMING, 1813","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"COELORINCHUS COELORHINCUS","SADDLED GRENADIER",,"","823130301010000","CAECAE","8794010405","","S","","(RISSO, 1810)","Cohen et al 1990","","","","","",08-MAR-99,"JM",,""
"CALAMUS BAJONADO","JOLTHEAD PORGY",632,"JOLPORGY","","","8835430502","","S","","BLOCH SCHNEIDER","AFS-1991","","","Calamus bajonado","Jolthead Porgy","632",09-AUG-95,"BK",,""
"CALAMUS CALAMUS","SAUCEREYE PORGY",633,"SAUPORGY","","","8835430503","","S","","VALENCIENNES","AFS-1991","","","Calamus calamus","Saucereye Porgy","633",09-AUG-95,"BK",,""
"CALAMUS LEUCOSTEUS","WHITEBONE PORGY",634,"WHIPORGY","","","8835430505","","S","","JORDAN GILBERT","AFS-1991","","","Calamus leucosteus","Whitebone Porgy","634",09-AUG-95,"BK",,""
"CALAMUS NODOSUS","KNOBBED PORGY",635,"KNOPORGY","","","8835430506","","S","","RANDALL CALDWELL","AFS-1991","","","Calamus nodosus","Knobbed Porgy","635",09-AUG-95,"BK",,""
"CALAMUS PENNA","SHEEPSHEAD PORGY",636,"SHEPORGY","","","8835430510","","S","","VALENCIENNES","AFS-1991","","","Calamus penna","Sheepshead Porgy","636",09-AUG-95,"BK",,""
"CALAMUS PRORIDENS","LITTLEHEAD PORGY",637,"LITPORGY","","","8835430508","","S","","JORDAN GILBERT","AFS-1991","","","Calamus proridens","Littlehead Porgy","637",09-AUG-95,"BK",,""
"CALANOIDA","CALANOID COPEPOD UNCL",,"","411080000010000","CALANO","6118","","O","","MAUCHLINE, 1988","","","","","","",28-DEC-94,"RAR",,""
"CALANUS FINMARCHICUS","",,"","411080201020000","CALFIN","6118010208","","S","","(GUNVIER, 1765)","","","SINGLE COMMON SP. IN AREA","","","",28-DEC-94,"RAR",,""
"CALAPPA FLAMMEA","FLAME BOX CRAB",328,"","411020202010000","CALFLA","6186020101","","S","","(HERBST, 1794)","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"CALAPPA SP","",,"","411020202000000","CALASP","61860201","","G","","","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"CALAPPIDAE","BOX CRAB UNCL",339,"","411020200000000","CALFAM","618602","","F","","","AFS-1989","","","","","",01-JAN-99,"FPA",,""
"CALATHURA BRANCHIATA","",,"","411030201010000","CALBRA","6160030201","","S","","(STIMPSON, 1853)","","","","","","",28-DEC-94,"RAR",,""
"CALIGUS SP","",,"","411080301000000","CALISP","61230101","","G","","MULLER, 1785","","","ONE ID'ED AS 'COPEPODA PARASITIC'","","","",28-DEC-94,"RAR",,""
"CALLECHELYS GUINIENSIS","SHORTTAIL SNAKE EEL",391,"TAILSNAK","","","8741130307","","S","","(OSORIA, 1894)","AFS-1991","","|SV: NAME CHANGE AFS-1990","Callechelys perryae","Shorttail Snake Eel","391",09-AUG-95,"BK",,""
"CALLIANASSA SETIMANUS","",,"","411020301010000","CALSET","6183040225","","S","","(DE KAY,1926)","AFS-1989","","MONOTYPIC GENUS IN AREA","","","",28-DEC-94,"RAR",,""
"CALLIANASSIDAE","GHOST SHRIMP UNCL",,"","411020300000000","CALFA1","618304","","F","","","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"ASABELLIDES OCULATA","",,"","214170105010000","ASAOCU","5001670802","","S","","","","","","","","",28-DEC-94,"RAR",,""
"ASABELLIDES SP","",,"","214170105000000","ASABSP","50016708","","G","","","","","","","","",28-DEC-94,"RAR",,""
"ASCHELMINTHS","ASCHELMINTH UNCL",,"","110000000000000","ASCHEL","NONE","","","","","RUPPERT AND BARNS 94","","INFORMAL TAXONOMIC GROUP, REQUEST NODC ADD","","","",28-DEC-94,"RAR",,""
"ASCIDIA CALLOSA","",,"","761010101010000","ASCCAL","8404050102","","S","","STIMPSON, 1852","","","","","","",28-DEC-94,"RAR",,""
"ASCIDIA SP","",,"","761010101000000","ASCISP","84040501","","G","","LINNAEUS, 1767","","","","","","",28-DEC-94,"RAR",,""
"ASCIDIACEA","SEA SQUIRT UNCL",,"","761000000000000","ASCIDI","8401","","C","","","","","","","","",28-DEC-94,"RAR",,""
"ASCIDIIDAE","",,"","761010100000000","ASCFAM","840405","","F","","HERDMAN, 1880","RUPPERTS & FOX 1988","","CORRECTED SPELLING","","","",28-DEC-94,"RAR",,""
"ASELLUS SP","",,"","411031501000000","ASELSP","61630205","","G","","GEOFFREY,1762","","","","","","",28-DEC-94,"RAR",,""
"ASPIDOPHOROIDES MONOPTERYGIUS","ALLIGATORFISH",165,"ALLIG","823210204020000","ASPMON","8831080304","","S","","(BLOCH)","AFS-1991","","","Aspidophoroides monopterygius","Alligatorfish","165",09-AUG-95,"BK",,""
"ASPIDOSIPHON ALBUS","",,"","311010101010000","ASPALB","7200030102","","S","","","","","","","","",28-DEC-94,"RAR",,""
"ASPIDOSIPHON PARVULUS","",,"","311010101040000","ASPPAR","7200030101","","S","","","","","","","","",28-DEC-94,"RAR",,""
"ASTARTE CASTANEA","SMOOTH ASTARTE",420,"","512080201100000","ASTCAS","5515190110","","S","","(SAY,1822)","AFS-1988","","|SV: COMMON NAME CORRECTED TO AFS-1988 STANDARD","Astarte castanea","Chestnut Astarte","420",09-AUG-95,"BK",,""
"ASTARTE QUADRANS","SQUARISH ASTARTE",,"","512080201090000","ASTQUA","5515190115","","S","","GOULD,1841","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"ASTARTE SP","",,"","512080201000000","ASTASP","55151901","","G","","SOWERBY,1844","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"ASTARTE SP SHELL","ASTARTE SHELL",,"","512080201000004","ASTSHE","NONE","","","","","FH-1995","","SPECIAL FCDI STRUCTURE CODE USED WHEN ONLY SHELL PRESENT IN STOMACH","","","",28-DEC-94,"RAR",,""
"ASTARTE UNDATA","WAVY ASTARTE",,"","512080201110000","ASTUND","5515190113","","S","","GOULD,1841","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"ASTERIAS SP","",,"","611010101000000","ASTESP","81170302","","G","","","","","","","","",28-DEC-94,"RAR",,""
"ASTERIAS VULGARIS","BOREAL ASTERIAS",333,"","611010101040000","ASTVUL","8117030204","","S","","","","","","Asterias vulgaris","Boreal Asterias","333",09-AUG-95,"BK",,""
"ASTERIIDAE","",,"","611010100000000","ASTFAM","811703","","F","","GRAY, 1840","","","","","","",28-DEC-94,"RAR",,""
"ASTEROIDEA","SEA STAR UNCL",,"","611000000000000","ASTERO","8104","","","","","","","","","","",28-DEC-94,"RAR",,""
"ASTROPECTEN SP","",334,"","611030301000000","ASTRSP","81060105","","G","","GRAY, 1840","AFS-1988","","|SV: DROPPED COMMON NAME","Astropecten spp.","Margined Seastar","334",09-AUG-95,"BK",,""
"ASTROSCOPUS GUTTATUS","NORTHERN STARGAZER",179,"NORSTAR","823217901010000","ASTGUT","8840140101","","S","","ABBOTT","AFS-1991","","","Astroscopus guttatus","Northern Stargazer","179",09-AUG-95,"BK",,""
"ASTROSCOPUS SP","",,"","823217901000000","ASTRS1","88401401","","G","","","AFS-1991","","","","","",28-DEC-94,"RAR",,""
"ASTROSCOPUS Y-GRAECUM","SOUTHERN STARGAZER",699,"SOUSTAR","","","8840140102","","S","","(CUVIER)","AFS-1991","","","Astroscopus y-graecum","Southern Stargazer","699",09-AUG-95,"BK",,""
"ASYCHIS ELONGATA","",,"","214020301030000","ASYELO","5001630103","","S","","","","","","","","",28-DEC-94,"RAR",,""
"ATHERINIDAE","SILVERSIDE UNCL",423,"SILVU","823210700000000","ATHFAM","880502","","F","","","AFS-1991","","|SV: MINOR EDITS","Atherinidae sp","Silverside Uncl","423",01-JAN-99,"FPA",,""
"ATYLIDAE","",,"","411013800000000","ATYFAM","616909","","F","","","","","","","","",28-DEC-94,"RAR",,""
"ATYLUS SWAMMERDAMI","",,"","411013801010000","ATYSWA","6169090109","","S","","MILNE EDWARDS, 1830","NODC","","RARE IN OUR AREA, PROB. MIS-ID","","","",28-DEC-94,"RAR",,""
"AULOSTOMUS MACULATUS","TRUMPETFISH",119,"TRUMPET","","","8819010101","","S","","VALENCIENNES","AFS-1991","","","Aulostomus maculatus","Trumpetfish","119",09-AUG-95,"BK",,""
"AUTOLYTUS ALEXANDRI","",,"","214112502010000","AUTALE","5001230107","","S","","","","","","","","",28-DEC-94,"RAR",,""
"AUTOLYTUS SP","",,"","214112502000000","AUTOSP","50012301","","G","","","","","","","","",28-DEC-94,"RAR",,""
"AUXIS ROCHEI","BULLET MACKEREL",701,"BULMACK","","","8850030701","","S","","(RISSO, 1810)","AFS-1991","","","Auxis rochei","Bullet Mackerel","701",09-AUG-95,"BK",,""
"AUXIS SP","",,"","823216503000000","AUXISP","88500307","","G","","","AFS-1991","","","","","",28-DEC-94,"RAR",,""
"AUXIS THAZARD","FRIGATE MACKEREL",702,"FRIMACK","","","8850030702","","S","","(LACEPEDE, 1800)","AFS-1991","","","Auxis thazard","Frigate Mackerel","702",09-AUG-95,"BK",,""
"AVES","BIRD UNCL",,"","950000000000000","AVES","91","","C","","","","","","","","",28-DEC-94,"RAR",,""
"AVES FEATHERS","BIRD FEATHER UNCL",,"","950000000000006","AVEFEA","NONE","","","","","FH-1995","","SPECIAL CODE FOR FEATHERS IN STOMACHS","","","",28-DEC-94,"RAR",,""
"AXIIDAE","",,"","411020100000000","AXIFAM","618302","","F","","","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"AXIOGNATHUS SQUAMATUS","",,"","613020209040000","AXISQU","8129030202","","S","S","(DELLE CHIAJE, 1829)","","","","","","",28-DEC-94,"RAR",,""
"AXIUS SERRATUS","",,"","411020101010000","AXISER","6183020301","","","","","AFS-1989","","NODC ERROR AS AUXIUS (ALL OF GENUS)","","","",28-DEC-94,"RAR",,""
"AXIUS SP","",,"","411020101000000","AXIUSP","61830203","","","","","AFS-1989","","NODC ERROR AS AUXIUS (ALL OF GENUS)","","","",28-DEC-94,"RAR",,""
"AXIUS SP LARVAE","AXIUS LARVAE",,"","411020101000200","AXIUS1","NONE","","","","","AFS-1989","","SPECIAL FCDI CODE FOR LIFE STAGE OF AXIUS SP","","","",28-DEC-94,"RAR",,""
"BAGRE MARINUS","GAFFTOPSAIL CATFISH",442,"GAFFTOP","","","8777180101","","S","","(MITCHILL, 1815)","AFS-1991","","","Bagre marinus","Gafftopsail Catfish","442",09-AUG-95,"BK",,""
"EUPHAUSIIDAE","KRILL UNCL",,"","411050100000000","EUPFAM","617402","","F","","","","","SINGLE FAMILY IN AREA","","","",28-DEC-94,"RAR",,""
"EUPHAUSIIDAE LARVAE","KRILL LARVAE",,"","411050100000200","EUPLAR","NONE","","","","","","","SPECIAL FCDI LIFE STAGE CODE","","","",28-DEC-94,"RAR",,""
"EUPHROSINE SP","",,"","214010201000000","EUPHS1","50011101","","G","","","","","","","","",28-DEC-94,"RAR",,""
"EUPHROSINIDAE","",,"","214010200000000","EUPFA1","500111","","F","","","","","","","","",28-DEC-94,"RAR",,""
"EUPROGNATHA RASTELLIFERA","",,"","411021804010000","EUPRAS","6187011101","","S","","STIMPSON, 1871","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"EURYALE SP","",,"","613010402000000","EURYSP","81250401","","G","","","","","","","","",28-DEC-94,"RAR",,""
"EURYPANOPEUS DEPRESSUS","FLATBACKED MUD CRAB",,"","411023401010000","EURDEP","6189020501","","S","","(SMITH, 1869)","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"EUSIRIDAE","",,"","411011100000000","EUSFAM","616920","","F","","","","","","","","",28-DEC-94,"RAR",,""
"EUSIRUS SP","",,"","411011101000000","EUSISP","61692008","","G","","KROYER, 1845","","","","","","",28-DEC-94,"RAR",,""
"EUSPIRA HEROS","NORTHERN MOONSNAIL",348,"","514042308010000","EUSHER","5103761201","","S","","(SAY, 1822)","AFS-1988","","|SV: CORRECTED TO AFS-88 STANDARD","Lunatia heros","Northern Moon Shell","348",09-AUG-95,"BK",,""
"EUSPIRA IMMACULATA","IMMACULATE MOONSNAIL",,"","514042308020000","EUSIMM","5103761202","","S","","(TOTTEN, 1835)","AFS-1988","","FH COMMON NAME ERROR, SCINAM SPELLING CORRECTED","","","",28-DEC-94,"RAR",,""
"EUTHYNNUS ALLETTERATUS","LITTLE TUNNY",743,"TUNNY","","","8850030102","","S","","(RAFINESQUE)","AFS-1991","","","Euthynnus alletteratus","Little Tunny","743",09-AUG-95,"BK",,""
"EXOCOETUS OBTUSIROSTRIS","OCEANIC TWO-WING FLYINGFISH",467,"2FLYING","","","8803010701","","S","","GUNTHER","AFS-1991","","","Exocoetus obtusirostris","Oceanic Two-Wing Flyingfish","467",09-AUG-95,"BK",,""
"EXOGONE SP","",,"","214112505000000","EXOGSP","50012307","","G","","","","","","","","",28-DEC-94,"RAR",,""
"EXOGONE VERUGERA","",,"","214112505030000","EXOVER","5001230706","","S","","(CLAPAREDE, 1868)","","","","","","",28-DEC-94,"RAR",,""
"FECAL REMAINS","FECAL PELLETS",,"","850000000000000","FECREM","NONE","","","","","FH-1995","","SPECIAL FCDI PREY CATEGORY NO MATCH WITH OTHER LISTS","","","",28-DEC-94,"RAR",,""
"FIBERGLASS","",,"","932020200000000","FIBERG","NONE","","","","","FH-1995","","SPECIAL FCDI FCDI PREY (HUMAN POLLUTION)","","","",28-DEC-94,"RAR",,""
"FILOGRANA IMPLEXA","",,"","214130401010000","FILIMP","5001731001","","S","","BERKELEY","","","MONOTYPIC GENUS IN AREA","","","",28-DEC-94,"RAR",,""
"FISH","FISH UNCL",,"","820000000000000","FISH","NONE","","","","","FH-1995","","NON-PHYLETIC GROUP USED FOR FOOD HABITS","","","",28-DEC-94,"RAR",,""
"FISH EGGS OTHER THAN SKATE","FISH EGGS",,"","820000000000100","FISEGG","NONE","","","","","FH-1995","","SPECIAL FCDI LIFE STAGE CODE FOR NON-PHYLETIC GROUP USED FOR FOOD HABITS","","","",28-DEC-94,"RAR",,""
"FISH LARVAE","FISH LARVAE",,"","820000000000200","FISLAR","NONE","","","","","FH-1995","","SPECIAL FCDI LIFE STAGE CODE FOR NON-PHYLETIC GROUP USED FOR FOOD HABITS","","","",28-DEC-94,"RAR",,""
"FISH OTOLITHS","OTOLITH UNCL",,"","820000000000001","FISOTO","NONE","","","","","FH-1995","","SPECIAL FCDI STRUCTURE CODE FOR NON-PHYLETIC GROUP USED FOR FOOD HABITS","","","",28-DEC-94,"RAR",,""
"FISH SCALES","SCALE UNCL",,"","820000000000002","FISSCA","NONE","","","","","FH-1995","","SPECIAL FCDI STRUCTURE CODE FOR NON-PHYLETIC GROUP USED FOR FOOD HABITS","","","",28-DEC-94,"RAR",,""
"FISSURELLIDAE","",,"","514020500000000","FISFAM","510204","","F","","FLEMING, 1822","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"FISTULARIA PETIMBA","RED CORNETFISH",489,"RCORNET","","","8819020102","","S","","LACEPEDE","AFS-1991","","|SV: NAME CHANGE AFS-1980","Fistularia villosa","Red Cornetfish","489",09-AUG-95,"BK",,""
"FISTULARIA SP","CORNETFISH UNCL",490,"CORNETU","823140201010000","FISTSP","88190201","","G","","","AFS-1991","","|SV: NOTE THE GENUS AND FAMILY ARE SYNONYMS","Fistularia sp","Cornetfish Uncl","490",01-JAN-99,"FPA",,""
"FISTULARIA TABACARIA","BLUESPOTTED CORNETFISH",120,"BCORNET","","","8819020101","","S","","LINNAEUS","AFS-1991","","","Fistularia tabacaria","Bluespotted Cornetfish","120",09-AUG-95,"BK",,""
